					pc	bp	sp	stack
Initial values 				0	1	0
  0	jmp	0	14		14	1	0	
 14	inc	0	1		15	1	1	0 
 15	cal	0	1		1	2	1	0 | 0 1 1 16 
  1	jmp	0	2		2	2	1	0 
  2	inc	0	4		3	2	5	0 | 0 1 1 16 
  3	lod	1	0		4	2	6	0 | 0 1 1 16 0 
  4	lit	0	5		5	2	7	0 | 0 1 1 16 0 5 
  5	opr	0	9		6	2	6	0 | 0 1 1 16 1 
  6	jpc	0	13		7	2	5	0 | 0 1 1 16 
  7	lod	1	0		8	2	6	0 | 0 1 1 16 0 
  8	lit	0	1		9	2	7	0 | 0 1 1 16 0 1 
  9	opr	0	2		10	2	6	0 | 0 1 1 16 1 
 10	sto	1	0		11	2	5	1 | 0 1 1 16 
 11	cal	1	1		1	6	5	1 | 0 1 1 16 | 0 1 2 12 
  1	jmp	0	2		2	6	5	1 | 0 1 1 16 
  2	inc	0	4		3	6	9	1 | 0 1 1 16 | 0 1 2 12 
  3	lod	1	0		4	6	10	1 | 0 1 1 16 | 0 1 2 12 1 
  4	lit	0	5		5	6	11	1 | 0 1 1 16 | 0 1 2 12 1 5 
  5	opr	0	9		6	6	10	1 | 0 1 1 16 | 0 1 2 12 1 
  6	jpc	0	13		7	6	9	1 | 0 1 1 16 | 0 1 2 12 
  7	lod	1	0		8	6	10	1 | 0 1 1 16 | 0 1 2 12 1 
  8	lit	0	1		9	6	11	1 | 0 1 1 16 | 0 1 2 12 1 1 
  9	opr	0	2		10	6	10	1 | 0 1 1 16 | 0 1 2 12 2 
 10	sto	1	0		11	6	9	2 | 0 1 1 16 | 0 1 2 12 
 11	cal	1	1		1	10	9	2 | 0 1 1 16 | 0 1 2 12 | 0 1 6 12 
  1	jmp	0	2		2	10	9	2 | 0 1 1 16 | 0 1 2 12 
  2	inc	0	4		3	10	13	2 | 0 1 1 16 | 0 1 2 12 | 0 1 6 12 
  3	lod	1	0		4	10	14	2 | 0 1 1 16 | 0 1 2 12 | 0 1 6 12 2 
